id,name,slots,lat,long
7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,36,49.262487,-123.114397
32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,16,49.274566,-123.121817
6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,26,49.279764,-123.110154
66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),16,49.260599,-123.113504
485d4d24c803cfde829ab89699fed833,8th & Ash,16,49.264215,-123.117772
b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,14,49.270877,-123.115103
d1c9556d92f329703229fb3e33899a3b,Stamps Landing,14,49.26893,-123.11813
95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,20,49.271721,-123.104207
3e112f9fe877e0003780386359060ae6,Canada Place,26,49.287214,-123.11287
6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,20,49.282409,-123.118541
bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,26,49.287097,-123.118551
d2244f1a81d317c76cabd65e81250835,Marinaside & Davie,22,49.273471,-123.118016
0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,30,49.282758,-123.122092
fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,22,49.28602,-123.116624
7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),20,49.279739,-123.116251
2ef000bc9d4650d8cc6198c4d570b19f,Beatty & Robson,20,49.277483,-123.114279
b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,14,49.275679,-123.116963
3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,22,49.282759,-123.106955
1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,18,49.288444,-123.139203
664502c28e8147615f17b8ea355f40d0,Cordova & Bute,14,49.289124,-123.12196
6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,18,49.28062,-123.12482
fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,15,49.279938,-123.127478
3a4131fa94946d93d3529136efd62413,Pacific & Richards,14,49.273663,-123.127075
25318ec3e06fae1397a3a2f645104149,Chilco & Beach,14,49.28972,-123.144028
444991edc9550be0908f032da5e3c95f,Comox & Broughton,12,49.285253,-123.134356
434b6f4e7fc30198f901b60fc905f609,Bute & Comox,22,49.283343,-123.131099
f97d5bf41f35aa181288429fb52e3488,Cambie & Water,32,49.284605,-123.108662
fef69fb400210d861107a61db954d037,Keefer & Abbott,28,49.279821,-123.10802
9d3123425823420514b8ad410074f02d,Expo & Carrall,17,49.278004,-123.105664
f1ca711137cde59e824167a4274df888,Keefer & Columbia,14,49.279342,-123.101822
4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage,26,49.273833,-123.114373
be14efdc86dedd6a8cd338e78ab4e7c7,Bidwell & Burnaby,26,49.28526,-123.141809
6ddeafa873279951630a00191333c45d,Robson & Granville,30,49.281506,-123.120101
c7b5bec0b2f4ab9a2d3f9d837725620c,Expo & Smithe,14,49.276115,-123.114496
b9fd847d53fe45658fee4c46e7f562b8,Cypress & Cornwall,22,49.272827,-123.147744
c2be5403b1c101e8032cf6696457200e,Anderson & 2nd,28,49.269361,-123.13782
71c064fa93cab5f0b7306e6c923b77c4,7th & Granville,14,49.2653,-123.13811
96bf713e60bc35cc2feb5fd53a4f3471,10th & Granville,14,49.262598,-123.138921
8dc684732a2a25bdf63ec0ecccee4e6e,14th & Granville,14,49.25894,-123.139272
686c0fdb962e26e274d81fc286c010dd,14th & Cambie,14,49.258763,-123.115392
0cf6cd1809fa7f510812f5b052f578c4,Ontario & 5th,20,49.266724,-123.104824
93c88a18c673e2c72a6afa93d6b89f18,10th & Main,18,49.262141,-123.101961
8fb5ce1e34ad31de940481953aea452c,Cypress & 4th,18,49.268269,-123.147885
aa704bfba40286bd0661b64d1f75e778,Vanier Park,28,49.275717,-123.142564
8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland,20,49.276436,-123.11877
1d4153659a0a0a2089078c739df6737d,Nelson & Richards,18,49.277844,-123.120942
fbb4c06b719596c21f91fd51ef6d4710,7th & Heather,18,49.265089,-123.119425
72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,20,49.28026,-123.135244
00fa94ad698dc4a9e4d708d6fd32f294,Chilco & Barclay,18,49.291909,-123.140713
efa947b901a2cf85b58320b3ad26a2fe,Chilco & Robson,16,49.293257,-123.138563
66a53e9c32e4f5c724f9478240020142,Nicola & Robson,18,49.288011,-123.132006
97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings,18,49.28117,-123.104419
6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,28,49.283227,-123.120523
30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,16,49.299292,-123.130281
9f63cebac9073eac3e90be2b9a91b02b,Stanley Park - Second Beach North,16,49.29534,-123.150433
9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South,18,49.294318,-123.148808
e3d32ad772a5898c3b96c4d23d2cd542,Stanley Park - Totem Poles,20,49.298657,-123.121176
625a2ad202275c8e2be3ce868e85b105,Heather & 14th,16,49.259183,-123.120126
6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,16,49.263837,-123.105173
92c9e62c0b42adf4759c430009d3987a,1st & Chestnut,26,49.270721,-123.146175
51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,16,49.265605,-123.152566
826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,16,49.267222,-123.153157
4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,30,49.262255,-123.126217
56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,40,49.257654,-123.153212
c81f75a80312c51ceaef1304beac1990,Cypress & 14th,12,49.25919,-123.148268
afacb2133f2462aba7748cc21b71c788,Cypress & 16th,12,49.25741,-123.148531
a9f0b06d07f89b75e92c0cf686223aea,Georgia & Thurlow,12,49.285953,-123.124066
686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,16,49.280881,-123.130672
0d1b5c62f8d22e3650811df55596e25b,Heather & 16th,12,49.256845,-123.120071
521c2122c791ed038168c3b8ff24061b,14th & Ontario,16,49.25849,-123.104799
838d5bb59963474ad08a6d5b156943ed,14th & Main,14,49.258425,-123.100792
b9ab6ce009eda6006ade1d7568d9db9c,David Lam Park,18,49.270905,-123.126006
9ec4163496363b31ab475cb851b57b21,Beach & Seymour,18,49.273568,-123.129935
