station_id,place_id,name,distance,address,city,postal,review_count,rating,category_id,category_name,query_categories
a74744ce4bb7ea2aa9f406ac8bff95d8,EByyWFFnSnrmQZct_j6MBg,New Brighton Park,948.4814677340668,3201 New Brighton Road,Vancouver,V5K 5J7,16.0,4.5,beaches|parks,Beaches|Parks,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,_BkYJw9plA2tYLoToa9mGQ,Il Giardino Italiano,78.53176988261829,2901 E Hastings St,Vancouver,V5K 5J1,2.0,4.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,_UWGRNA9Jkbt72_3NXpNcw,Hastings Park,291.862881291711,2901 E Hastings Street,Vancouver,V5K 5J1,9.0,4.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,d4PXZQGnXuCE7akD7PQ_TA,Rupert Park Pitch & Putt,959.110608728766,3402 Charles Street,Vancouver,V5K 5H9,9.0,4.0,parks|golf,Parks|Golf,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,LBVCFvtVtDwzOc2R0EqwfA,Adanac Park,875.2460878234061,1025 Boundary Road,Vancouver,V5K 4T2,1.0,3.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,62f1QlwgVZr3pFHdjS542A,Callister Park,894.9850036516632,2875 Oxford Street,Vancouver,V5K 1N6,1.0,3.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a74744ce4bb7ea2aa9f406ac8bff95d8,w_JY6JHlUtDw09puGdEPxw,Atrium Inn,679.2619644921124,2889 East Hastings Street,Vancouver,V5K 2A1,58.0,3.0,hotels|venues,Hotels|Venues & Event Spaces,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,GlYICUHh-vsbdBsdjnRwMg,Harbour Green Park,415.20644834160277,1199 W Cordova Street,Vancouver,V6C 0A1,15.0,4.5,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,-fHqwIU4S-uD9O-ouzhE_A,Rainbow Park,847.3691206338806,872 Richards Street,Vancouver,V6B 3B4,4.0,5.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,KiRXFRtSzRbgU_55Nj845Q,Portal Park,428.9153522389047,1099 W Hastings Street,Vancouver,V6E 4E2,1.0,5.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
